"id";"name";"state_id";"created_at";"updated_at"
"279";"Gwarinpa";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"280";"Jabi";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"281";"Jahi";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"282";"Jukwoyi";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"283";"Kabusa";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"284";"Kado";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"285";"Karmo";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"286";"Karu - Nasarawa";"2";"2019-09-09 20:16:21";"2019-09-19 22:09:32"
"287";"Katampe";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"288";"Kaura";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"289";"Kubwa";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"290";"Kuchigworo";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"291";"Kuje";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"292";"Kwali";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"293";"Lokogoma";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"294";"Lugbe";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"295";"Mabuchi";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"296";"Maitama";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"297";"Mpape";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"298";"Nbora";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"299";"Nyanya";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"300";"Pyakassa";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"301";"Utako";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"302";"Wumba";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"303";"Wuse";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"304";"Wuse II";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"305";"Wuye";"2";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"306";"Akko";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"307";"Balanga";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"308";"Billiri";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"309";"Dukku";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"310";"Funakaye";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"311";"Gombe LGA";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"312";"Kaltungo";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"313";"Kwami";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"314";"Nafada";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"315";"Shomgom";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"316";"Yamaltu/Deba";"16";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"317";"Aboh-Mbaise";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"318";"Ahiazu-Mbaise";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"319";"Ehime-Mbano";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"320";"Ezinihitte";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"321";"Ezinihitte Mbaise";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"322";"Ideato North";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"323";"Ideato South";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"324";"Ihitte/Uboma";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"325";"Ikeduru";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"326";"Isiala Mbano";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"327";"Isu";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"328";"Mbaitoli";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"330";"Njaba";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"331";"Nkwerre";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
"332";"Nwangele";"17";"2019-09-09 20:16:21";"2019-09-09 20:16:21"
